seg,human_secs,human_path,human_ups,entry_ups,direct,arrived,secs,ratio,cross_p50,cross_p95,cross_max,speed,late_speed,yaw_p95,reverse,wall,bot_path,comparable
0,0.918,643,700,1015,0.904,1,1.739,1.894,83.8,181.9,184.7,0.765,0.860,521,6,38,779,1
0,0.918,643,700,1015,0.904,1,1.779,1.937,87.9,197.9,200.1,0.769,0.837,364,0,36,807,1
0,0.918,643,700,1015,0.904,1,1.706,1.858,81.7,168.9,170.7,0.771,0.857,439,0,37,751,1
9,1.028,646,628,618,0.684,1,1.251,1.217,45.3,127.6,134.1,0.709,0.727,468,4,28,480,1
9,1.028,646,628,618,0.684,1,1.276,1.241,44.9,127.5,136.5,0.695,0.720,581,6,28,481,1
9,1.028,646,628,618,0.684,1,1.384,1.346,51.4,130.2,139.2,0.690,0.628,543,8,30,487,1
18,1.073,648,604,571,0.695,1,1.579,1.472,25.2,57.1,61.4,0.724,0.750,737,0,32,596,1
18,1.073,648,604,571,0.695,1,1.585,1.477,25.3,55.8,57.7,0.740,0.700,627,0,34,595,1
18,1.073,648,604,571,0.695,1,1.593,1.484,25.1,50.1,51.6,0.703,0.691,687,0,33,601,1
27,1.091,642,588,482,0.709,1,1.705,1.563,14.4,113.0,126.1,0.832,0.779,464,0,34,749,1
27,1.091,642,588,482,0.709,1,1.918,1.758,29.8,98.1,108.6,0.798,0.691,465,0,37,798,1
27,1.091,642,588,482,0.709,1,1.780,1.632,38.6,73.3,77.7,0.757,0.685,462,0,38,738,1
36,1.131,644,569,575,0.768,1,1.792,1.584,16.3,55.2,57.8,0.750,0.638,953,4,39,632,1
36,1.131,644,569,575,0.768,1,1.783,1.576,8.6,16.8,17.1,0.680,0.561,390,0,34,599,1
36,1.131,644,569,575,0.768,1,1.756,1.553,8.9,16.3,16.4,0.663,0.567,314,0,35,594,1
45,1.162,647,557,535,0.919,1,1.469,1.264,22.4,55.4,58.5,0.823,0.727,367,0,31,604,1
45,1.162,647,557,535,0.919,1,1.420,1.222,22.9,55.8,57.4,0.866,0.729,357,0,32,603,1
45,1.162,647,557,535,0.919,1,1.478,1.272,22.3,56.0,57.5,0.802,0.715,362,0,36,603,1
54,1.176,643,547,519,0.954,0,1.672,1.422,59.3,185.6,188.2,0.922,0.854,359,0,34,756,1
54,1.176,643,547,519,0.954,0,1.648,1.402,56.6,184.3,186.5,0.894,0.874,351,0,37,747,1
54,1.176,643,547,519,0.954,0,1.694,1.440,66.7,200.4,202.4,0.919,0.901,355,0,38,794,1
63,1.190,647,543,528,0.941,1,1.349,1.134,56.4,75.6,79.0,0.910,0.916,385,0,30,618,1
63,1.190,647,543,528,0.941,1,1.336,1.123,61.0,87.8,91.8,0.909,0.887,357,0,28,617,1
63,1.190,647,543,528,0.941,1,1.287,1.082,59.5,91.1,96.3,0.992,0.961,350,0,28,614,1
72,1.198,643,537,517,0.720,1,2.568,2.144,25.9,62.7,68.3,0.763,0.703,679,17,46,892,1
72,1.198,643,537,517,0.720,1,4.097,3.420,59.8,213.8,230.4,0.760,0.715,703,76,83,1427,1
72,1.198,643,537,517,0.720,1,2.560,2.137,24.7,57.8,68.7,0.752,0.702,675,16,53,878,1
90,1.235,647,524,508,0.775,0,3.455,2.797,95.3,203.2,215.8,0.835,0.758,484,43,81,1381,1
90,1.235,647,524,508,0.775,0,3.978,3.221,42.4,83.8,96.3,0.801,0.796,1038,93,77,1422,1
90,1.235,647,524,508,0.775,0,3.987,3.228,41.8,85.0,96.2,0.790,0.779,829,93,81,1428,1
99,1.246,641,515,483,0.850,1,5.348,4.292,115.0,362.1,396.8,0.549,0.395,3667,103,74,1237,1
99,1.246,641,515,483,0.850,1,8.291,6.654,56.2,332.7,399.0,0.652,0.390,3062,213,118,1925,1
99,1.246,641,515,483,0.850,1,7.541,6.052,154.2,331.3,385.8,0.617,0.462,3076,210,115,2028,1
108,1.266,644,509,478,0.848,1,1.413,1.116,8.1,19.7,20.1,0.942,0.931,338,0,29,624,1
108,1.266,644,509,478,0.848,1,1.438,1.135,8.5,15.5,32.5,0.932,0.945,289,0,32,629,1
108,1.266,644,509,478,0.848,1,1.402,1.107,8.1,14.6,29.2,0.940,0.940,298,0,35,626,1
117,1.274,641,503,581,1.047,1,6.722,5.276,94.1,171.2,184.8,0.493,0.591,1101,198,106,1402,1
117,1.274,641,503,581,1.047,1,4.422,3.471,84.9,131.3,132.8,0.534,0.612,1032,82,65,984,1
117,1.274,641,503,581,1.047,1,7.712,6.053,83.2,134.3,147.2,0.616,0.701,980,250,112,1579,1
126,1.299,644,495,463,0.814,1,1.487,1.145,19.7,78.7,81.4,0.806,0.848,497,0,30,547,1
126,1.299,644,495,463,0.814,1,1.465,1.128,20.7,87.4,89.9,0.822,0.855,516,0,32,561,1
126,1.299,644,495,463,0.814,1,1.456,1.121,20.7,88.2,89.4,0.851,0.850,445,0,34,555,1
135,1.321,644,487,447,0.708,1,1.773,1.342,23.1,46.6,47.4,0.884,0.793,443,0,39,691,1
135,1.321,644,487,447,0.708,1,1.816,1.375,24.7,46.1,47.4,0.865,0.780,365,0,36,689,1
135,1.321,644,487,447,0.708,1,1.766,1.337,23.5,46.1,47.4,0.858,0.772,379,0,37,687,1
153,1.349,645,478,466,0.376,0,1.459,1.081,21.4,45.6,48.6,0.740,0.739,648,0,27,458,1
153,1.349,645,478,466,0.376,0,1.457,1.080,22.3,45.2,48.6,0.748,0.752,616,0,28,461,1
153,1.349,645,478,466,0.376,0,1.439,1.067,20.7,43.8,48.1,0.755,0.774,636,0,30,461,1
162,1.360,640,471,378,0.871,1,1.704,1.253,29.4,60.8,62.8,0.805,0.775,494,0,33,587,1
162,1.360,640,471,378,0.871,1,1.719,1.264,29.5,60.5,63.4,0.800,0.784,515,0,32,590,1
162,1.360,640,471,378,0.871,1,1.687,1.241,29.7,60.6,65.2,0.826,0.803,531,0,37,589,1
180,1.394,644,462,455,0.934,1,2.566,1.841,10.3,59.9,61.0,0.783,0.781,604,6,41,693,1
180,1.394,644,462,455,0.934,1,2.600,1.865,11.6,60.3,62.8,0.760,0.733,602,6,42,702,1
180,1.394,644,462,455,0.934,1,2.711,1.945,10.0,51.7,52.8,0.740,0.702,689,10,41,686,1
189,1.414,645,456,501,0.552,1,2.085,1.475,12.1,46.9,49.6,0.748,0.784,277,0,40,627,1
189,1.414,645,456,501,0.552,1,2.167,1.533,13.9,46.3,49.6,0.740,0.781,402,0,41,641,1
189,1.414,645,456,501,0.552,1,2.071,1.464,16.3,53.6,56.6,0.765,0.877,346,0,37,639,1
198,1.440,642,446,411,0.884,1,1.588,1.103,8.1,21.6,23.0,0.968,0.934,382,0,35,630,1
198,1.440,642,446,411,0.884,1,1.543,1.072,8.0,27.7,29.0,0.952,0.905,492,0,37,609,1
198,1.440,642,446,411,0.884,1,1.618,1.124,5.6,21.7,24.7,0.932,0.871,553,0,32,618,1
216,1.481,644,435,200,0.486,1,8.655,5.844,7.8,275.1,290.7,0.939,0.893,1405,39,89,1434,1
216,1.481,644,435,200,0.486,1,8.694,5.871,10.9,273.7,289.6,0.969,0.934,1091,55,88,1451,1
216,1.481,644,435,200,0.486,1,8.561,5.781,7.5,279.1,291.4,0.918,0.893,1020,43,86,1402,1
225,1.499,642,428,471,0.697,1,1.037,0.692,39.7,102.6,113.7,1.141,1.316,365,0,17,452,1
225,1.499,642,428,471,0.697,1,1.102,0.735,62.1,134.0,138.9,0.978,1.055,485,0,14,427,1
225,1.499,642,428,471,0.697,1,1.072,0.715,55.0,121.3,130.2,1.070,1.189,385,0,21,422,1
234,1.522,643,423,330,0.572,1,1.399,0.919,5.6,26.5,34.4,0.713,0.750,427,13,28,413,1
234,1.522,643,423,330,0.572,1,1.422,0.935,9.2,26.0,36.0,0.699,0.696,157,13,29,407,1
234,1.522,643,423,330,0.572,1,1.417,0.931,9.5,25.0,34.2,0.696,0.691,118,12,33,411,1
243,1.549,647,417,315,0.897,1,1.675,1.081,11.9,72.3,75.7,0.918,0.827,352,0,31,593,1
243,1.549,647,417,315,0.897,1,1.646,1.062,16.1,81.4,86.3,0.919,0.861,359,0,28,588,1
243,1.549,647,417,315,0.897,1,1.593,1.029,13.7,74.8,78.8,0.946,0.848,360,0,34,590,1
252,1.571,642,408,462,0.555,1,7.398,4.709,1.4,86.2,107.7,0.800,0.145,3195,10,50,590,1
252,1.571,642,408,462,0.555,1,7.467,4.753,0.3,84.4,107.1,0.792,0.111,699,17,42,596,1
252,1.571,642,408,462,0.555,1,7.524,4.790,0.4,84.2,107.6,0.791,0.111,1417,25,46,611,1
261,1.615,644,399,271,0.921,1,1.464,0.907,13.5,60.6,64.3,1.135,0.996,376,0,27,613,1
261,1.615,644,399,271,0.921,1,1.481,0.917,13.5,60.7,66.8,1.151,1.017,391,0,35,613,1
261,1.615,644,399,271,0.921,1,1.492,0.924,12.5,60.4,66.5,1.098,1.005,385,0,33,619,1
270,1.631,642,394,504,0.890,0,7.511,4.605,68.7,299.9,344.1,0.799,0.871,569,247,118,2031,1
270,1.631,642,394,504,0.890,0,6.348,3.892,67.2,278.2,317.2,0.808,0.946,1039,165,101,1834,1
270,1.631,642,394,504,0.890,0,5.962,3.655,79.3,297.1,330.8,0.762,0.684,1163,139,97,1769,1
279,1.684,647,384,227,0.588,1,1.288,0.765,22.7,46.1,50.5,0.980,0.955,533,8,25,463,1
279,1.684,647,384,227,0.588,1,1.300,0.772,22.1,46.0,51.0,0.981,0.943,712,8,23,466,1
279,1.684,647,384,227,0.588,1,1.301,0.772,22.2,46.0,50.6,0.970,0.930,740,7,28,466,1
288,0.962,363,378,232,0.948,1,0.846,0.879,2.2,16.1,17.6,1.110,0.958,367,0,17,324,1
288,0.962,363,378,232,0.948,1,0.854,0.888,2.2,15.2,17.1,1.103,0.950,356,0,18,325,1
288,0.962,363,378,232,0.948,1,0.897,0.932,5.9,19.5,22.8,1.081,0.829,360,0,15,329,1
297,1.727,642,372,284,0.172,1,0.401,0.232,18.4,48.4,49.5,0.855,0.691,740,2,8,131,0
297,1.727,642,372,284,0.172,1,0.401,0.232,18.6,45.9,51.9,0.886,0.817,875,0,8,124,0
297,1.727,642,372,284,0.172,1,0.418,0.242,17.7,50.3,51.9,0.855,0.756,864,0,7,124,0
306,1.750,640,366,417,0.382,1,0.964,0.551,35.7,44.9,48.7,0.721,0.773,494,6,18,272,0
306,1.750,640,366,417,0.382,1,0.963,0.550,34.6,45.4,49.7,0.735,0.791,681,5,17,269,0
306,1.750,640,366,417,0.382,1,0.963,0.550,34.6,45.4,49.7,0.718,0.770,624,6,16,269,0
315,1.782,643,361,285,0.869,1,1.307,0.733,42.9,60.0,63.3,1.164,1.203,355,0,30,538,1
315,1.782,643,361,285,0.869,1,1.331,0.747,40.4,59.4,61.7,1.155,1.155,361,0,25,544,1
315,1.782,643,361,285,0.869,1,2.129,1.195,26.6,59.2,63.1,0.929,0.883,598,0,30,568,1
324,1.818,641,352,324,0.562,1,1.891,1.040,23.3,46.9,54.9,0.942,0.980,414,0,32,546,1
324,1.818,641,352,324,0.562,1,1.957,1.076,22.9,44.1,53.6,0.942,0.997,499,0,33,561,1
324,1.818,641,352,324,0.562,1,2.018,1.110,27.8,44.1,51.2,0.863,0.920,455,0,32,536,1
333,1.182,410,347,464,0.403,1,0.648,0.548,11.8,57.7,64.6,0.976,1.300,477,12,12,237,0
333,1.182,410,347,464,0.403,1,0.634,0.536,12.3,59.1,66.9,1.184,1.247,449,13,14,234,0
333,1.182,410,347,464,0.403,1,0.743,0.628,11.9,55.8,64.5,0.972,1.266,482,12,13,238,0
342,1.880,641,341,330,0.924,1,1.702,0.905,14.4,77.9,84.7,1.157,1.190,462,0,33,609,1
342,1.880,641,341,330,0.924,1,1.728,0.919,11.9,70.8,72.0,1.161,1.222,391,0,37,623,1
342,1.880,641,341,330,0.924,1,1.738,0.924,14.8,61.7,70.2,1.155,1.211,512,0,34,614,1
351,1.909,645,338,349,0.425,1,1.456,0.762,17.0,55.5,58.4,0.934,0.936,365,15,27,433,1
351,1.909,645,338,349,0.425,1,1.465,0.767,17.0,55.5,57.6,0.942,0.961,352,15,29,438,1
